precinct,ballot_type,registered,ballots_cast,turnout,ROBERT_ORNELAS,ALAN_SPEARS,WILEY_DRAKE,JAMES_HEDGES,THOMAS_HOEFLING,ARTHUR_HARRIS,J.R._MYERS,WRITE-IN,over_votes,under_votes
7636,Election_Day,10,5,50,,3,,,,,,1,,1
7636,VBM,10,0,0,,,,,,,,,,
7637,Election_Day,11,0,0,,,,,,,,,,
7637,VBM,11,4,36.36,,,,,,,,2,,2
7638,Election_Day,21,4,19.05,,,1,,,,,1,,2
7638,VBM,21,8,38.1,,,,,,,,5,,3
7639,Election_Day,18,6,33.33,,,1,,1,,,,,4
7639,VBM,18,6,33.33,,,,,,,,3,,3
7641,Election_Day,18,1,5.56,,,,1,,,,,,
7641,VBM,18,7,38.89,1,,,,,,,2,,4
7642,Election_Day,16,2,12.5,,,,,,,,,,2
7642,VBM,16,13,81.25,,,1,,2,1,,7,,2
7643,Election_Day,9,0,0,,,,,,,,,,
7643,VBM,9,3,33.33,,,2,,,,,,,1
7644,Election_Day,8,2,25,,,,,,1,,1,,
7644,VBM,8,0,0,,,,,,,,,,
7645,Election_Day,12,2,16.67,,1,,,,,,,,1
7645,VBM,12,3,25,,,,,,,,2,,1
7646,Election_Day,26,3,11.54,,,,,,,,1,,2
7646,VBM,26,4,15.38,1,,,,,,,3,,
7647,Election_Day,21,2,9.52,,1,,,,,,,,1
