precinct,ballot_type,registered,ballots_cast,turnout,JANE_KIM,SCOTT_WIENER,KEN_LOO,WRITE-IN,over_votes,under_votes
7611,Election_Day,793,96,12.11,51,22,2,1,,20
7611,VBM,793,220,27.74,119,54,16,,6,25
7612,Election_Day,579,84,14.51,45,28,5,,,6
7612,VBM,579,173,29.88,84,63,12,,1,13
7613,Election_Day,917,157,17.12,93,36,13,2,,13
7613,VBM,917,249,27.15,138,72,15,2,2,20
7614,Election_Day,1046,176,16.83,96,43,9,1,,27
7614,VBM,1046,285,27.25,142,98,21,2,1,21
7615,Election_Day,996,108,10.84,62,23,4,,,19
7615,VBM,996,205,20.58,101,67,25,1,,11
7616,Election_Day,713,122,17.11,51,54,5,,,12
7616,VBM,713,283,39.69,111,126,17,1,1,27
7617,Election_Day,801,96,11.99,51,27,3,,,15
7617,VBM,801,239,29.84,129,69,18,1,2,20
7618,Election_Day,847,164,19.36,90,59,4,,,11
7618,VBM,847,295,34.83,141,115,19,1,2,17
7619,Election_Day,1473,263,17.85,127,103,10,1,,22
7619,VBM,1473,475,32.25,228,181,27,1,3,35
7621,Election_Day,912,164,17.98,101,40,10,,,13
7621,VBM,912,318,34.87,147,122,22,1,1,25
7622,Election_Day,901,113,12.54,65,30,5,1,,12
7622,VBM,901,201,22.31,102,66,13,,,20
7623,Election_Day,759,120,15.81,72,23,8,,,17
7623,VBM,759,194,25.56,95,79,6,1,,13
7624,Election_Day,957,105,10.97,70,20,4,2,,9
7624,VBM,957,212,22.15,119,74,7,1,3,8
7625,Election_Day,853,65,7.62,26,25,6,,,8
7625,VBM,853,398,46.66,156,154,48,,8,32
7626,Election_Day,953,161,16.89,62,71,10,,,18
7626,VBM,953,360,37.78,123,152,48,1,1,35
7627,Election_Day,1123,191,17.01,83,70,14,,,24
7627,VBM,1123,378,33.66,115,164,54,1,,44
7628,Election_Day,913,182,19.93,93,63,7,,,19
7628,VBM,913,312,34.17,147,123,10,2,,30
7629,Election_Day,756,145,19.18,81,48,3,1,,12
7629,VBM,756,204,26.98,98,85,9,1,1,10
7631,Election_Day,931,182,19.55,97,65,6,2,,12
7631,VBM,931,319,34.26,140,134,23,1,,21
7632,Election_Day,642,147,22.9,63,69,,,,15
7632,VBM,642,200,31.15,82,90,13,,2,13
7633,Election_Day,638,123,19.28,65,40,3,,,15
7633,VBM,638,236,36.99,105,93,15,,2,21
7634,Election_Day,901,147,16.32,80,44,8,,,15
7634,VBM,901,314,34.85,129,144,23,1,1,16
7635,Election_Day,707,123,17.4,75,31,7,,,10
7635,VBM,707,241,34.09,102,95,19,1,,24
7636,Election_Day,840,175,20.83,86,68,8,1,1,11
7636,VBM,840,268,31.9,107,102,40,,,19
7637,Election_Day,1075,171,15.91,79,58,16,1,1,16
7637,VBM,1075,403,37.49,156,164,44,3,,36
7638,Election_Day,999,132,13.21,52,50,16,,,14
7638,VBM,999,406,40.64,122,195,66,1,1,21
7639,Election_Day,868,162,18.66,60,66,14,,,22
7639,VBM,868,280,32.26,87,144,32,,,17
7641,Election_Day,881,146,16.57,69,55,9,1,,12
7641,VBM,881,339,38.48,125,134,56,1,,23
7642,Election_Day,879,144,16.38,66,31,17,1,,29
7642,VBM,879,405,46.08,121,105,57,7,,115
7643,Election_Day,860,124,14.42,68,40,4,,,12
7643,VBM,860,344,40,136,159,27,,,22
7644,Election_Day,918,191,20.81,96,61,10,1,1,22
7644,VBM,918,282,30.72,126,98,23,,,35
7645,Election_Day,607,89,14.66,39,35,5,1,,9
7645,VBM,607,278,45.8,94,119,32,,,33
7646,Election_Day,1601,274,17.11,156,68,17,1,,32
7646,VBM,1601,591,36.91,254,235,47,,,55
7647,Election_Day,861,167,19.4,102,40,12,1,,12
7647,VBM,861,177,20.56,104,55,6,2,,10
7648,Election_Day,7,0,0,,,,,,
7648,VBM,7,2,28.57,1,1,,,,
7701,Election_Day,938,290,30.92,138,104,23,2,,23
7701,VBM,938,333,35.5,124,153,29,2,,25
7702,Election_Day,752,162,21.54,59,72,14,,,17
7702,VBM,752,327,43.48,92,152,56,2,2,23
7703,Election_Day,137,2,1.46,,,1,,,1
7703,VBM,137,55,40.15,20,25,4,,,6
7704,Election_Day,943,242,25.66,96,110,17,1,,18
7704,VBM,943,389,41.25,111,194,55,,,29
7705,Election_Day,536,148,27.61,56,71,6,,,15
7705,VBM,536,230,42.91,61,123,27,,,19
7706,Election_Day,813,219,26.94,85,98,28,,,8
7706,VBM,813,355,43.67,97,173,47,,,38
7707,Election_Day,817,215,26.32,68,124,15,,,8
7707,VBM,817,353,43.21,106,188,33,1,,25
7708,Election_Day,853,184,21.57,73,83,8,,,20
7708,VBM,853,368,43.14,119,178,46,,,25
7709,Election_Day,359,99,27.58,56,28,5,1,,9
7709,VBM,359,180,50.14,78,81,16,,,5
7711,Election_Day,763,191,25.03,81,89,5,1,,15
7711,VBM,763,312,40.89,105,157,25,2,1,22
7712,Election_Day,543,142,26.15,65,57,9,,,11
7712,VBM,543,225,41.44,84,106,17,,,18
7801,Election_Day,928,266,28.66,90,151,9,,,16
