precinct,ballot_type,registered,ballots_cast,turnout,Yes,No,over_votes,under_votes
7627,VBM,1123,374,33.3,248,95,,31
7628,Election_Day,913,180,19.72,147,14,,19
7628,VBM,913,307,33.63,219,53,,35
7629,Election_Day,756,146,19.31,111,24,,11
7629,VBM,756,199,26.32,164,28,,7
7631,Election_Day,931,182,19.55,136,24,,22
7631,VBM,931,315,33.83,233,59,,23
7632,Election_Day,642,146,22.74,111,21,,14
7632,VBM,642,198,30.84,140,41,,17
7633,Election_Day,638,122,19.12,85,19,,18
7633,VBM,638,233,36.52,169,42,,22
7634,Election_Day,901,149,16.54,97,26,,26
7634,VBM,901,312,34.63,233,49,,30
7635,Election_Day,707,123,17.4,95,21,,7
7635,VBM,707,235,33.24,154,46,,35
7636,Election_Day,840,174,20.71,118,40,,16
7636,VBM,840,265,31.55,181,67,,17
7637,Election_Day,1075,170,15.81,110,43,,17
7637,VBM,1075,397,36.93,278,89,,30
7638,Election_Day,999,132,13.21,90,26,,16
7638,VBM,999,402,40.24,258,124,,20
7639,Election_Day,868,159,18.32,103,31,,25
7639,VBM,868,274,31.57,193,62,,19
7641,Election_Day,881,147,16.69,116,20,,11
7641,VBM,881,330,37.46,237,71,,22
7642,Election_Day,879,143,16.27,96,16,,31
7642,VBM,879,397,45.16,245,55,,97
7643,Election_Day,860,125,14.53,92,15,,18
7643,VBM,860,339,39.42,232,80,,27
7644,Election_Day,918,190,20.7,135,27,,28
7644,VBM,918,275,29.96,198,53,,24
7645,Election_Day,607,88,14.5,72,8,,8
7645,VBM,607,270,44.48,183,63,,24
7646,Election_Day,1601,274,17.11,202,38,,34
7646,VBM,1601,574,35.85,421,94,,59
7647,Election_Day,861,167,19.4,128,22,,17
7647,VBM,861,169,19.63,138,20,,11
7648,Election_Day,7,0,0,,,,
7648,VBM,7,2,28.57,2,,,
7701,Election_Day,938,290,30.92,219,48,,23
7701,VBM,938,328,34.97,250,61,,17
7702,Election_Day,752,161,21.41,115,31,,15
7702,VBM,752,323,42.95,214,81,,28
7703,Election_Day,137,2,1.46,1,,,1
7703,VBM,137,55,40.15,43,5,,7
7704,Election_Day,943,239,25.34,161,59,,19
7704,VBM,943,393,41.68,242,120,,31
7705,Election_Day,536,148,27.61,98,37,,13
7705,VBM,536,228,42.54,133,76,,19
7706,Election_Day,813,220,27.06,147,64,,9
7706,VBM,813,356,43.79,237,96,,23
7707,Election_Day,817,215,26.32,154,47,,14
7707,VBM,817,348,42.59,227,95,,26
7708,Election_Day,853,181,21.22,133,36,,12
7708,VBM,853,365,42.79,236,98,1,30
7709,Election_Day,359,97,27.02,67,23,,7
7709,VBM,359,180,50.14,115,51,,14
7711,Election_Day,763,188,24.64,140,33,,15
7711,VBM,763,310,40.63,196,90,,24
7712,Election_Day,543,142,26.15,98,33,,11
7712,VBM,543,223,41.07,152,62,,9
7801,Election_Day,928,266,28.66,206,43,,17
7801,VBM,928,394,42.46,274,92,,28
7802,Election_Day,732,223,30.46,172,37,,14
7802,VBM,732,285,38.93,213,48,,24
7803,Election_Day,775,172,22.19,130,27,,15
7803,VBM,775,403,52,299,83,,21
7804,Election_Day,881,261,29.63,207,32,,22
7804,VBM,881,368,41.77,278,65,,25
7805,Election_Day,795,207,26.04,165,26,,16
7805,VBM,795,331,41.64,259,46,,26
7806,Election_Day,727,205,28.2,148,40,,17
7806,VBM,727,267,36.73,202,46,,19
7807,Election_Day,729,243,33.33,194,32,,17
7807,VBM,729,229,31.41,189,24,,16
7808,Election_Day,653,218,33.38,162,38,,18
7808,VBM,653,217,33.23,176,29,,12
7809,Election_Day,978,265,27.1,211,27,,27
7809,VBM,978,357,36.5,288,36,,33
7811,Election_Day,731,207,28.32,165,28,,14
7811,VBM,731,235,32.15,185,35,,15
7812,Election_Day,819,229,27.96,163,38,,28
7812,VBM,819,294,35.9,221,56,,17
7813,Election_Day,982,306,31.16,242,43,,21
7813,VBM,982,367,37.37,277,57,,33
7814,Election_Day,835,177,21.2,122,35,,20
7814,VBM,835,209,25.03,143,42,1,23
