precinct,ballot_type,registered,ballots_cast,turnout,MATTHEW_DEL_CARLO,DAVID_CHIU,WRITE-IN,over_votes,under_votes
7839,VBM,824,365,44.3,39,284,3,,39
7841,Election_Day,904,271,29.98,14,197,2,,58
7841,VBM,904,367,40.6,15,289,2,,61
7842,Election_Day,864,294,34.03,30,226,3,,35
7842,VBM,864,293,33.91,28,217,4,,44
7843,Election_Day,733,231,31.51,14,161,6,,50
7843,VBM,733,233,31.79,25,169,4,,35
7844,Election_Day,653,198,30.32,15,146,4,,33
7844,VBM,653,217,33.23,20,161,2,,34
7845,Election_Day,835,234,28.02,16,173,1,,44
7845,VBM,835,326,39.04,16,276,2,,32
7846,Election_Day,886,248,27.99,18,189,2,,39
7846,VBM,886,334,37.7,36,255,1,1,41
7847,Election_Day,888,258,29.05,18,202,2,,36
7847,VBM,888,334,37.61,36,256,1,,41
7848,Election_Day,860,247,28.72,16,189,,,42
7848,VBM,860,353,41.05,23,282,4,,44
7849,Election_Day,920,298,32.39,17,227,1,,53
7849,VBM,920,329,35.76,25,257,4,,43
7851,Election_Day,502,116,23.11,13,88,,,15
7851,VBM,502,228,45.42,25,182,1,,20
7852,Election_Day,633,154,24.33,20,116,1,,17
7852,VBM,633,269,42.5,21,215,1,,32
7853,Election_Day,817,213,26.07,19,165,2,,27
7853,VBM,817,321,39.29,26,254,1,,40
7854,Election_Day,884,250,28.28,23,192,2,,33
7854,VBM,884,344,38.91,40,261,2,,41
7855,Election_Day,881,284,32.24,13,227,1,,43
7855,VBM,881,321,36.44,37,228,,,56
7856,Election_Day,785,233,29.68,16,176,2,,39
7856,VBM,785,313,39.87,19,264,,,30
7857,Election_Day,919,233,25.35,14,170,4,,45
