precinct,ballot_type,registered_voters,ballots_cast,turnout,Yes,No,over_votes,under_votes
7806,Election_Day,727,205,28.2,165,18,,22
7806,VBM,727,267,36.73,211,40,,16
7807,Election_Day,729,243,33.33,196,27,,20
7807,VBM,729,229,31.41,183,24,,22
7808,Election_Day,653,218,33.38,176,20,,22
7808,VBM,653,217,33.23,172,28,1,16
7809,Election_Day,978,265,27.1,209,24,,32
7809,VBM,978,357,36.5,292,34,1,30
7811,Election_Day,731,207,28.32,160,24,,23
7811,VBM,731,235,32.15,196,23,,16
7812,Election_Day,819,229,27.96,178,22,,29
7812,VBM,819,294,35.9,236,39,,19
7813,Election_Day,982,306,31.16,237,29,,40
7813,VBM,982,367,37.37,296,39,,32
7814,Election_Day,835,177,21.2,135,22,,20
7814,VBM,835,209,25.03,157,29,1,22
7815,Election_Day,890,226,25.39,160,36,1,29
7815,VBM,890,392,44.04,302,60,,30
7816,Election_Day,837,236,28.2,171,40,,25
7816,VBM,837,396,47.31,315,53,,28
7817,Election_Day,781,268,34.31,207,34,,27
7817,VBM,781,301,38.54,251,29,,21
7818,Election_Day,828,235,28.38,184,27,,24
7818,VBM,828,323,39.01,264,38,,21
7819,Election_Day,762,213,27.95,159,37,,17
7819,VBM,762,270,35.43,206,37,,27
7821,Election_Day,918,254,27.67,189,41,,24
7821,VBM,918,399,43.46,294,68,,37
7822,Election_Day,873,277,31.73,204,44,,29
7822,VBM,873,300,34.36,225,53,,22
7823,Election_Day,854,253,29.63,191,31,,31
7823,VBM,854,321,37.59,238,53,,30
7824,Election_Day,748,213,28.48,160,26,,27
7824,VBM,748,269,35.96,210,37,,22
7825,Election_Day,547,174,31.81,138,21,,15
7825,VBM,547,193,35.28,157,26,,10
7826,Election_Day,672,214,31.85,158,28,,28
7826,VBM,672,251,37.35,207,27,,17
7827,Election_Day,890,249,27.98,197,17,,35
7827,VBM,890,270,30.34,214,25,,31
7828,Election_Day,935,238,25.45,157,59,,22
7828,VBM,935,397,42.46,285,76,,36
7829,Election_Day,845,217,25.68,164,38,,15
7829,VBM,845,385,45.56,277,86,,22
7831,Election_Day,878,255,29.04,199,29,,27
7831,VBM,878,364,41.46,280,64,,20
7832,Election_Day,782,221,28.26,171,29,,21
7832,VBM,782,348,44.5,255,59,1,33
7833,Election_Day,753,192,25.5,135,24,,33
7833,VBM,753,281,37.32,203,41,,37
7834,Election_Day,852,279,32.75,220,31,,28
7834,VBM,852,267,31.34,211,28,,28
7835,Election_Day,787,217,27.57,152,40,,25
7835,VBM,787,321,40.79,231,72,,18
7836,Election_Day,948,247,26.05,185,41,,21
7836,VBM,948,403,42.51,289,76,,38
7837,Election_Day,868,247,28.46,181,35,1,30
7837,VBM,868,358,41.24,241,74,,43
7838,Election_Day,895,227,25.36,152,48,,27
7838,VBM,895,424,47.37,309,88,,27
7839,Election_Day,824,218,26.46,140,40,,38
7839,VBM,824,359,43.57,254,74,1,30
7841,Election_Day,904,271,29.98,205,31,,35
7841,VBM,904,361,39.93,278,52,,31
7842,Election_Day,864,292,33.8,236,28,,28
7842,VBM,864,292,33.8,224,43,,25
7843,Election_Day,733,228,31.11,176,24,,28
7843,VBM,733,231,31.51,181,31,,19
7844,Election_Day,653,199,30.47,162,21,,16
7844,VBM,653,216,33.08,172,22,,22
7845,Election_Day,835,235,28.14,175,32,,28
7845,VBM,835,319,38.2,242,49,,28
7846,Election_Day,886,248,27.99,184,33,,31
7846,VBM,886,326,36.79,225,72,,29
7847,Election_Day,888,254,28.6,180,45,,29
7847,VBM,888,328,36.94,232,58,2,36
7848,Election_Day,860,246,28.6,188,29,,29
