precinct,ballot_type,registered_voters,ballots_cast,turnout,Yes,No,over_votes,under_votes
7819,VBM,762,270,35.43,176,70,,24
7821,Election_Day,918,254,27.67,170,59,,25
7821,VBM,918,399,43.46,245,121,,33
7822,Election_Day,873,277,31.73,188,66,1,22
7822,VBM,873,300,34.36,208,74,,18
7823,Election_Day,854,253,29.63,174,55,1,23
7823,VBM,854,321,37.59,202,90,,29
7824,Election_Day,748,213,28.48,131,56,,26
7824,VBM,748,269,35.96,171,81,,17
7825,Election_Day,547,174,31.81,128,37,,9
7825,VBM,547,193,35.28,140,44,,9
7826,Election_Day,672,214,31.85,149,43,,22
7826,VBM,672,251,37.35,171,68,,12
7827,Election_Day,890,249,27.98,180,40,2,27
7827,VBM,890,270,30.34,189,55,1,25
7828,Election_Day,935,238,25.45,147,76,1,14
7828,VBM,935,397,42.46,224,136,,37
7829,Election_Day,845,217,25.68,135,69,,13
7829,VBM,845,385,45.56,245,120,1,19
7831,Election_Day,878,255,29.04,170,61,,24
7831,VBM,878,364,41.46,229,113,3,19
7832,Election_Day,782,221,28.26,154,53,,14
7832,VBM,782,348,44.5,212,109,1,26
7833,Election_Day,753,192,25.5,129,38,,25
7833,VBM,753,281,37.32,171,81,,29
7834,Election_Day,852,279,32.75,203,55,,21
7834,VBM,852,267,31.34,187,59,1,20
7835,Election_Day,787,217,27.57,133,60,,24
7835,VBM,787,321,40.79,220,81,,20
7836,Election_Day,948,247,26.05,165,64,2,16
7836,VBM,948,403,42.51,261,107,1,34
7837,Election_Day,868,247,28.46,154,66,1,26
7837,VBM,868,358,41.24,203,124,,31
7838,Election_Day,895,227,25.36,144,63,,20
7838,VBM,895,424,47.37,245,150,,29
7839,Election_Day,824,218,26.46,120,64,,34
7839,VBM,824,359,43.57,199,138,1,21
7841,Election_Day,904,271,29.98,172,73,1,25
7841,VBM,904,361,39.93,230,101,,30
7842,Election_Day,864,292,33.8,196,74,,22
7842,VBM,864,292,33.8,193,80,,19
7843,Election_Day,733,228,31.11,164,43,,21
7843,VBM,733,231,31.51,167,48,,16
7844,Election_Day,653,199,30.47,148,34,,17
7844,VBM,653,216,33.08,151,50,,15
7845,Election_Day,835,235,28.14,158,57,,20
7845,VBM,835,319,38.2,206,82,,31
