PrecinctName,ReportingType,PrecinctID,Precincts,Registration,Ballots Cast,Turnout (%),Yes,No,Under Vote,Over Vote
Pct 7345,VBM,7345,1,1186,526,44.35,379,48,88,0
Pct 7346,Election Day,7346,1,991,328,33.10,255,36,38,0
Pct 7346,VBM,7346,1,991,434,43.79,326,31,70,0
Pct 7347,Election Day,7347,1,1085,335,30.88,248,27,59,0
Pct 7347,VBM,7347,1,1085,506,46.64,387,42,63,0
Pct 7348,Election Day,7348,1,957,231,24.14,171,26,36,0
Pct 7348,VBM,7348,1,957,416,43.47,293,54,61,0
Pct 7349,Election Day,7349,1,1006,277,27.53,193,37,47,0
Pct 7349,VBM,7349,1,1006,494,49.11,336,79,69,1
Pct 7501,Election Day,7501,1,574,201,35.02,133,32,36,0
Pct 7501,VBM,7501,1,574,321,55.92,208,73,33,0
Pct 7502,Election Day,7502,1,808,240,29.70,158,43,40,0
Pct 7502,VBM,7502,1,808,454,56.19,302,76,68,0
Pct 7503,Election Day,7503,1,808,252,31.19,168,42,46,0
Pct 7503,VBM,7503,1,808,436,53.96,303,57,68,0
Pct 7504,Election Day,7504,1,503,158,31.41,106,18,32,1
Pct 7504,VBM,7504,1,503,262,52.09,194,27,34,0
Pct 7505,Election Day,7505,1,915,181,19.78,138,18,24,1
Pct 7505,VBM,7505,1,915,581,63.50,411,69,89,0
Pct 7506,Election Day,7506,1,1018,261,25.64,195,30,38,0
Pct 7506,VBM,7506,1,1018,537,52.75,377,65,79,0
Pct 7507,Election Day,7507,1,992,244,24.60,182,26,37,0
Pct 7507,VBM,7507,1,992,387,39.01,284,65,35,0
Pct 7508,Election Day,7508,1,735,150,20.41,107,25,18,0
Pct 7508,VBM,7508,1,735,456,62.04,323,74,54,1
Pct 7509/7511,Election Day,7509,1,1006,260,25.84,201,30,32,0
Pct 7509/7511,VBM,7509,1,1006,565,56.16,394,77,81,0
Pct 7512,Election Day,7512,1,638,168,26.33,111,31,25,1
Pct 7512,VBM,7512,1,638,325,50.94,224,46,51,0
Pct 7513,Election Day,7513,1,836,257,30.74,177,25,58,0
Pct 7513,VBM,7513,1,836,344,41.15,256,42,42,1
Pct 7514,Election Day,7514,1,886,186,20.99,138,11,39,0
Pct 7514,VBM,7514,1,886,358,40.41,269,32,51,0
Pct 7515,Election Day,7515,1,898,262,29.18,194,35,33,0
Pct 7515,VBM,7515,1,898,448,49.89,324,63,55,0
Pct 7516,Election Day,7516,1,907,201,22.16,139,34,29,0
Pct 7516,VBM,7516,1,907,558,61.52,408,72,72,0
Pct 7517,Election Day,7517,1,956,354,37.03,282,36,36,0
Pct 7517,VBM,7517,1,956,472,49.37,371,37,56,0
Pct 7518,Election Day,7518,1,993,356,35.85,296,34,29,0
Pct 7518,VBM,7518,1,993,502,50.55,387,52,55,0
Pct 7519,Election Day,7519,1,802,283,35.29,232,16,35,0
Pct 7519,VBM,7519,1,802,393,49.00,288,47,49,1
Pct 7521,Election Day,7521,1,854,321,37.59,262,25,36,0
Pct 7521,VBM,7521,1,854,405,47.42,322,36,37,0
Pct 7522,Election Day,7522,1,848,307,36.20,252,25,29,0
Pct 7522,VBM,7522,1,848,435,51.30,344,38,48,1
Pct 7523,Election Day,7523,1,821,288,35.08,251,17,19,1
Pct 7523,VBM,7523,1,821,401,48.84,327,34,38,0
Pct 7524,Election Day,7524,1,728,228,31.32,180,18,32,0
Pct 7524,VBM,7524,1,728,304,41.76,224,35,40,0
Pct 7525,Election Day,7525,1,870,236,27.13,189,13,34,0
Pct 7525,VBM,7525,1,870,400,45.98,319,21,49,1
Pct 7526,Election Day,7526,1,999,280,28.03,211,32,38,0
Pct 7526,VBM,7526,1,999,578,57.86,437,54,81,0
Pct 7527/7528,Election Day,7527,1,773,258,33.38,186,31,35,0
Pct 7527/7528,VBM,7527,1,773,366,47.35,282,45,33,0
Pct 7529,Election Day,7529,1,992,318,32.06,260,23,37,0
Pct 7529,VBM,7529,1,992,542,54.64,430,47,60,0
Pct 7531,Election Day,7531,1,954,301,31.55,241,31,31,0
Pct 7531,VBM,7531,1,954,504,52.83,385,50,64,0
Pct 7532,Election Day,7532,1,886,280,31.60,195,40,45,0
Pct 7532,VBM,7532,1,886,461,52.03,339,60,61,0
Pct 7533,Election Day,7533,1,1025,428,41.76,344,41,43,1
Pct 7533,VBM,7533,1,1025,482,47.02,360,45,67,0
Pct 7534,Election Day,7534,1,967,337,34.85,269,38,30,0
Pct 7534,VBM,7534,1,967,438,45.29,337,50,50,0
Pct 7535,Election Day,7535,1,807,296,36.68,245,30,23,0
Pct 7535,VBM,7535,1,807,415,51.43,330,35,43,0
Pct 7536,Election Day,7536,1,895,295,32.96,249,20,27,0
Pct 7536,VBM,7536,1,895,480,53.63,371,46,54,0
Pct 7537,Election Day,7537,1,783,294,37.55,240,27,26,0
Pct 7537,VBM,7537,1,783,370,47.25,278,46,42,0
Pct 7538,Election Day,7538,1,831,291,35.02,236,25,30,0
Pct 7538,VBM,7538,1,831,445,53.55,354,40,46,0
Pct 7539,Election Day,7539,1,978,363,37.12,303,28,32,0
Pct 7539,VBM,7539,1,978,458,46.83,369,39,45,1
Pct 7541,Election Day,7541,1,865,271,31.33,230,21,20,0
Pct 7541,VBM,7541,1,865,457,52.83,366,37,51,0
Pct 7542,Election Day,7542,1,906,291,32.12,247,24,20,0
Pct 7542,VBM,7542,1,906,465,51.32,370,41,51,0
Pct 7543,Election Day,7543,1,993,267,26.89,215,20,31,0
Pct 7543,VBM,7543,1,993,539,54.28,438,58,38,0
Pct 7544,Election Day,7544,1,962,295,30.67,219,38,38,0
Pct 7544,VBM,7544,1,962,526,54.68,416,47,60,0
Pct 7545,Election Day,7545,1,970,276,28.45,223,23,31,0
Pct 7545,VBM,7545,1,970,557,57.42,406,65,80,0
Pct 7546,Election Day,7546,1,935,365,39.04,288,30,44,0
Pct 7546,VBM,7546,1,935,452,48.34,366,41,43,0
Pct 7547,Election Day,7547,1,1057,335,31.69,275,20,38,0
Pct 7547,VBM,7547,1,1057,502,47.49,384,39,71,0
Pct 7548,Election Day,7548,1,1135,338,29.78,278,25,34,0
Pct 7548,VBM,7548,1,1135,556,48.99,412,68,72,0
Pct 7549,Election Day,7549,1,854,276,32.32,215,28,32,0
Pct 7549,VBM,7549,1,854,458,53.63,346,60,45,0
Pct 7551,Election Day,7551,1,762,252,33.07,196,26,30,0
Pct 7551,VBM,7551,1,762,417,54.72,329,35,49,0
Pct 7552,Election Day,7552,1,756,256,33.86,211,25,20,0
Pct 7552,VBM,7552,1,756,422,55.82,322,43,46,2
Pct 7553 MB,Election Day,7553,1,187,5,2.67,3,0,2,0
Pct 7553 MB,VBM,7553,1,187,163,87.17,111,26,22,0
Pct 7554,Election Day,7554,1,859,279,32.48,205,41,33,0
Pct 7554,VBM,7554,1,859,490,57.04,386,55,41,0
Pct 7555,Election Day,7555,1,893,298,33.37,238,33,27,0
Pct 7555,VBM,7555,1,893,548,61.37,388,77,76,0
Pct 7556/7557,Election Day,7556,1,1008,315,31.25,236,44,35,0
Pct 7556/7557,VBM,7556,1,1008,591,58.63,454,72,56,0
Pct 7601,Election Day,7601,1,929,223,24.00,161,22,41,0
Pct 7601,VBM,7601,1,929,365,39.29,268,39,50,0
Pct 7602,Election Day,7602,1,962,267,27.75,203,19,44,0
Pct 7602,VBM,7602,1,962,422,43.87,332,42,45,0
Pct 7603,Election Day,7603,1,888,286,32.21,229,16,40,0
Pct 7603,VBM,7603,1,888,404,45.50,311,46,43,0
Pct 7604,Election Day,7604,1,989,284,28.72,210,26,46,0
Pct 7604,VBM,7604,1,989,393,39.74,307,43,37,0
Pct 7605,Election Day,7605,1,771,191,24.77,136,14,40,0
Pct 7605,VBM,7605,1,771,237,30.74,182,28,25,0
Pct 7606,Election Day,7606,1,992,247,24.90,181,25,41,1
Pct 7606,VBM,7606,1,992,393,39.62,302,37,47,0
Pct 7607,Election Day,7607,1,1055,272,25.78,200,27,44,0
Pct 7607,VBM,7607,1,1055,438,41.52,343,39,48,0
Pct 7608,Election Day,7608,1,456,89,19.52,58,6,25,0
Pct 7608,VBM,7608,1,456,155,33.99,98,30,26,0
Pct 7609,Election Day,7609,1,1051,153,14.56,102,11,41,0
